Date,High,Low,Open,Close
07/11/1986 00:00:00,243.47,241.72,242.22,242.22
07/14/1986 00:00:00,242.11,238.11,238.11,238.11
07/15/1986 00:00:00,238.03,233.66,233.66,233.66
07/16/1986 00:00:00,236.13,233.76,235.01,235.01
07/17/1986 00:00:00,236.57,235.07,236.07,236.07
07/18/1986 00:00:00,238.11,233.99,236.36,236.36
07/21/1986 00:00:00,236.22,235.84,236.24,236.24
07/22/1986 00:00:00,238.31,235.93,238.18,238.18
07/23/1986 00:00:00,239.17,238.17,238.67,238.67
07/24/1986 00:00:00,238.95,237.32,237.95,237.95
07/25/1986 00:00:00,240.34,237.97,240.22,240.22
07/28/1986 00:00:00,240.13,235.26,236.01,236.01
07/29/1986 00:00:00,235.93,234.43,234.55,234.55
07/30/1986 00:00:00,237.34,233.09,236.59,236.59
07/31/1986 00:00:00,236.87,236,236.12,236.12
08/01/1986 00:00:00,236.53,234.91,234.91,234.91
08/04/1986 00:00:00,236,232.25,235.99,235.99
08/05/1986 00:00:00,238.28,236.03,237.03,237.03
08/06/1986 00:00:00,237.34,235.59,236.84,236.84
08/07/1986 00:00:00,237.91,236.41,237.04,237.04
08/08/1986 00:00:00,238,236.38,236.88,236.88
08/11/1986 00:00:00,241.18,236.93,240.68,240.68
08/12/1986 00:00:00,243.34,240.47,243.34,243.34
08/13/1986 00:00:00,246.42,243.17,245.67,245.67
08/14/1986 00:00:00,246.75,245.63,246.25,246.25
08/15/1986 00:00:00,247.15,245.78,247.15,247.15
08/18/1986 00:00:00,247.75,245.5,247.38,247.38
08/19/1986 00:00:00,247.38,245.88,246.51,246.51
08/20/1986 00:00:00,249.77,246.52,249.77,249.77
08/21/1986 00:00:00,250.42,249.17,249.67,249.67
08/22/1986 00:00:00,250.56,249.31,250.19,250.19
08/25/1986 00:00:00,250.19,247.81,247.81,247.81
08/26/1986 00:00:00,252.84,247.84,252.84,252.84
08/27/1986 00:00:00,254.18,252.68,253.3,253.3
08/28/1986 00:00:00,253.59,251.97,252.84,252.84
08/29/1986 00:00:00,254.06,251.81,252.93,252.93
09/02/1986 00:00:00,253.27,248.15,248.52,248.52
09/03/1986 00:00:00,250.08,247.71,250.08,250.08
09/04/1986 00:00:00,253.96,250.08,253.83,253.83
09/05/1986 00:00:00,254.09,250.34,250.47,250.47
09/08/1986 00:00:00,250.39,247.14,248.14,248.14
09/09/1986 00:00:00,250.17,247.04,247.67,247.67
09/10/1986 00:00:00,247.69,246.19,247.06,247.06
09/11/1986 00:00:00,247.06,234.68,235.18,235.18
09/12/1986 00:00:00,235.42,228.79,230.67,230.67
09/15/1986 00:00:00,232.81,229.44,231.94,231.94
09/16/1986 00:00:00,231.84,228.34,231.72,231.72
09/17/1986 00:00:00,233.81,231.43,231.68,231.68
09/18/1986 00:00:00,232.81,230.69,232.31,232.31
09/19/1986 00:00:00,232.21,230.71,232.21,232.21
09/22/1986 00:00:00,234.93,232.31,234.93,234.93
09/23/1986 00:00:00,235.79,234.54,235.67,235.67
09/24/1986 00:00:00,237.03,235.53,236.28,236.28
09/25/1986 00:00:00,236.21,230.71,231.83,231.83
09/26/1986 00:00:00,233.6,230.73,232.23,232.23
09/29/1986 00:00:00,232.16,228.16,229.91,229.91
09/30/1986 00:00:00,232.94,229.94,231.32,231.32
10/01/1986 00:00:00,234.6,231.35,233.6,233.6
10/02/1986 00:00:00,234.29,232.79,233.92,233.92
10/03/1986 00:00:00,236.09,232.84,233.71,233.71
10/06/1986 00:00:00,235.28,233.28,234.78,234.78
10/07/1986 00:00:00,235.16,233.53,234.41,234.41
10/08/1986 00:00:00,236.81,233.68,236.68,236.68
10/09/1986 00:00:00,238.1,235.72,235.85,235.85
10/10/1986 00:00:00,236.23,235.35,235.48,235.48
10/13/1986 00:00:00,235.91,235.03,235.91,235.91
10/14/1986 00:00:00,236.37,234.37,235.37,235.37
10/15/1986 00:00:00,238.93,235.43,238.8,238.8
10/16/1986 00:00:00,240.16,238.91,239.53,239.53
10/17/1986 00:00:00,239.47,237.72,238.84,238.84
10/20/1986 00:00:00,238.72,234.84,235.97,235.97
10/21/1986 00:00:00,236.38,235,235.88,235.88
10/22/1986 00:00:00,236.63,235.88,236.26,236.26
10/23/1986 00:00:00,239.66,236.28,239.28,239.28
10/24/1986 00:00:00,239.63,238.26,238.26,238.26
10/27/1986 00:00:00,238.77,236.77,238.77,238.77
10/28/1986 00:00:00,240.51,238.88,239.26,239.26
10/29/1986 00:00:00,240.94,239.06,240.94,240.94
10/30/1986 00:00:00,243.96,240.96,243.71,243.71
10/31/1986 00:00:00,244.48,242.98,243.98,243.98
11/03/1986 00:00:00,245.8,244.05,245.8,245.8
11/04/1986 00:00:00,246.32,244.45,246.2,246.2
11/05/1986 00:00:00,246.96,245.33,246.58,246.58
11/06/1986 00:00:00,246.87,244.62,245.87,245.87
11/07/1986 00:00:00,246.02,245.02,245.77,245.77
11/10/1986 00:00:00,246.13,244.75,246.13,246.13
11/11/1986 00:00:00,247.08,246.21,247.08,247.08
11/12/1986 00:00:00,247.64,245.76,246.64,246.64
11/13/1986 00:00:00,246.65,243.02,243.02,243.02
11/14/1986 00:00:00,244.5,242,244.5,244.5
11/17/1986 00:00:00,244.71,242.34,243.21,243.21
11/18/1986 00:00:00,243.16,236.66,236.78,236.78
11/19/1986 00:00:00,237.91,235.53,237.66,237.66
11/20/1986 00:00:00,242.05,237.68,242.05,242.05
11/21/1986 00:00:00,246.36,241.99,245.86,245.86
11/24/1986 00:00:00,247.95,245.32,247.45,247.45
11/25/1986 00:00:00,248.17,246.42,248.17,248.17
11/26/1986 00:00:00,248.9,247.77,248.77,248.77
11/28/1986 00:00:00,249.22,248.09,249.22,249.22
12/01/1986 00:00:00,249.18,245.8,249.05,249.05
12/02/1986 00:00:00,254,249.13,254,254
12/03/1986 00:00:00,254.85,253.35,253.85,253.85
12/04/1986 00:00:00,254.41,252.91,253.04,253.04
12/05/1986 00:00:00,253.79,250.79,251.17,251.17
12/08/1986 00:00:00,252.28,248.91,251.16,251.16
12/09/1986 00:00:00,251.16,249.28,249.28,249.28
12/10/1986 00:00:00,251.46,248.96,250.96,250.96
12/11/1986 00:00:00,250.92,247.17,248.17,248.17
12/12/1986 00:00:00,248.22,247.1,247.35,247.35
12/15/1986 00:00:00,248.21,245.09,248.21,248.21
12/16/1986 00:00:00,250.04,247.41,250.04,250.04
12/17/1986 00:00:00,249.94,247.31,247.56,247.56
12/18/1986 00:00:00,247.78,246.53,246.78,246.78
12/19/1986 00:00:00,249.85,245.98,249.73,249.73
12/22/1986 00:00:00,249.63,247.5,248.75,248.75
12/23/1986 00:00:00,248.72,245.97,246.34,246.34
12/24/1986 00:00:00,247.13,246.13,246.75,246.75
12/26/1986 00:00:00,246.92,246.79,246.92,246.92
12/29/1986 00:00:00,246.92,244.42,244.67,244.67
12/30/1986 00:00:00,244.62,243.12,243.37,243.37
12/31/1986 00:00:00,244.03,241.28,242.17,242.17
01/02/1987 00:00:00,246.45,242.17,246.45,246.45
01/05/1987 00:00:00,252.57,246.45,252.19,252.19
01/06/1987 00:00:00,253.99,252.14,252.78,252.78
01/07/1987 00:00:00,255.72,252.65,255.33,255.33
01/08/1987 00:00:00,257.28,254.97,257.29,257.29
01/09/1987 00:00:00,259.2,256.11,258.73,258.73
01/12/1987 00:00:00,260.3,257.92,260.3,260.3
01/13/1987 00:00:00,260.45,259.21,259.95,259.95
01/14/1987 00:00:00,262.72,259.62,262.64,262.64
01/15/1987 00:00:00,266.68,262.64,265.49,265.49
01/16/1987 00:00:00,267.24,264.31,266.28,266.28
01/19/1987 00:00:00,269.34,264.15,269.34,269.34
01/20/1987 00:00:00,271.03,267.65,269.04,269.04
